risk_completion,other_completion,max_attempts,offered_risk,success_per_attempt,completed_risk,completion_probability,unresolved_probability,expected_attempts,expected_refusals,expected_retry_attempts,expected_cost
1,1,1,0.1,1.0,0.1,1.0,0.0,1.0,0.0,0.0,2.2
1,1,2,0.1,1.0,0.1,1.0,0.0,1.0,0.0,0.0,2.2
1,1,5,0.1,1.0,0.1,1.0,0.0,1.0,0.0,0.0,2.2
1,1,10,0.1,1.0,0.1,1.0,0.0,1.0,0.0,0.0,2.2
1,1,50,0.1,1.0,0.1,1.0,0.0,1.0,0.0,0.0,2.2
1,0.5,1,0.1,0.55,0.18181818181818182,0.55,0.44999999999999996,1.0,0.44999999999999996,0.0,1.3
1,0.5,2,0.1,0.55,0.18181818181818182,0.7975,0.20249999999999996,1.45,0.6525,0.44999999999999996,1.885
1,0.5,5,0.1,0.55,0.18181818181818182,0.9815471874999999,0.018452812499999992,1.7846312499999997,0.8030840624999998,0.7846312499999997,2.3200206249999997
1,0.5,10,0.1,0.55,0.18181818181818182,0.9996594937108398,0.0003405062891601559,1.8175627158378904,0.8179032221270506,0.8175627158378904,2.3628315305892578
1,0.5,50,0.1,0.55,0.18181818181818182,1.0,4.577471919127241e-18,1.8181818181818181,0.8181818181818181,0.8181818181818181,2.3636363636363638
1,0.01,1,0.1,0.10900000000000001,0.9174311926605504,0.10900000000000001,0.891,1.0,0.891,0.0,0.41800000000000004
1,0.01,2,0.1,0.10900000000000001,0.9174311926605504,0.20611900000000002,0.7938810000000001,1.891,1.684881,0.891,0.7904380000000001
1,0.01,5,0.1,0.10900000000000001,0.9174311926605504,0.438449885434549,0.561550114565451,4.022476013161,3.5840261277264505,3.0224760131609996,1.6813949735012979
1,0.01,10,0.1,0.10900000000000001,0.9174311926605504,0.6846614688315288,0.3153385311684712,6.281297879188337,5.596636410356808,5.281297879188337,2.625582513500725
1,0.01,50,0.1,0.10900000000000001,0.9174311926605504,0.9968819347309085,0.003118065269091687,9.145705823219343,8.148823888488435,8.145705823219343,3.822905034105686
0.1,1,1,0.1,0.91,0.010989010989010992,0.91,0.08999999999999997,1.0,0.08999999999999997,0.0,2.02
0.1,1,2,0.1,0.91,0.010989010989010992,0.9918999999999999,0.008099999999999994,1.0899999999999999,0.09809999999999997,0.08999999999999986,2.2017999999999995
0.1,1,5,0.1,0.91,0.010989010989010992,0.9999940950999999,5.90489999999999e-06,1.0988946099999999,0.09890051489999996,0.09889460999999988,2.2197671122
0.1,1,10,0.1,0.91,0.010989010989010992,0.9999999999651323,3.486784400999988e-11,1.0989010988627828,0.09890109889765042,0.09890109886278275,2.2197802197028214
0.1,1,50,0.1,0.91,0.010989010989010992,1.0000000000000002,5.153775207320024e-53,1.098901098901099,0.09890109890109877,0.098901098901099,2.2197802197802203
